time	detection
2022-10-01 08:54:23	truck
2022-10-01 08:55:23	truck
2022-10-01 08:56:23	car
2022-10-01 08:56:23	truck
2022-10-01 08:57:23	truck
2022-10-01 08:58:23	truck
2022-10-01 08:59:23	truck
2022-10-01 09:00:23	truck
2022-10-01 09:01:23	truck
2022-10-01 09:02:23	truck
2022-10-01 09:03:23	truck
2022-10-01 09:04:23	truck
2022-10-01 09:05:23	truck
2022-10-01 09:06:23	truck
2022-10-01 09:07:23	truck
2022-10-01 09:08:23	truck
2022-10-01 09:09:23	truck
2022-10-01 09:10:23	truck
2022-10-01 09:11:23	truck
2022-10-01 09:12:23	truck
2022-10-01 09:13:23	truck
2022-10-01 09:14:23	truck
2022-10-01 09:15:23	truck
2022-10-01 09:16:23	truck
2022-10-01 09:17:23	truck
2022-10-01 09:18:23	truck
2022-10-01 09:19:23	truck
2022-10-01 09:20:23	truck
2022-10-01 09:21:23	truck
2022-10-01 09:22:23	truck
2022-10-01 09:23:23	truck
2022-10-01 09:23:23	truck
2022-10-01 09:24:23	truck
2022-10-01 09:25:23	truck
2022-10-01 09:26:23	truck
2022-10-01 09:27:23	truck
2022-10-01 09:28:23	truck
2022-10-01 09:29:23	truck
2022-10-01 09:30:23	truck
2022-10-01 09:31:23	truck
2022-10-01 09:32:23	truck
2022-10-01 09:33:23	truck
2022-10-01 09:34:23	truck
2022-10-01 09:35:23	truck
2022-10-01 09:36:23	truck
2022-10-01 09:38:23	truck
2022-10-01 09:39:23	truck
2022-10-01 09:40:23	truck
2022-10-01 09:44:23	truck
2022-10-01 09:45:23	truck
2022-10-01 09:49:23	truck
2022-10-01 12:37:23	aeroplane
2022-10-01 12:38:23	aeroplane
2022-10-01 12:39:23	aeroplane
2022-10-01 12:40:23	aeroplane
2022-10-01 12:41:23	aeroplane
2022-10-01 12:42:23	aeroplane
2022-10-01 12:43:23	aeroplane
2022-10-01 12:44:23	aeroplane
2022-10-01 12:45:23	aeroplane
2022-10-01 12:46:23	aeroplane
2022-10-01 12:47:23	aeroplane
2022-10-01 12:48:23	aeroplane
2022-10-01 12:49:23	aeroplane
2022-10-01 12:50:23	aeroplane
2022-10-01 12:51:23	aeroplane
2022-10-01 12:52:23	aeroplane
2022-10-01 12:53:23	aeroplane
2022-10-01 12:54:23	aeroplane
2022-10-01 12:55:23	aeroplane
2022-10-01 12:56:23	aeroplane
2022-10-01 12:57:23	aeroplane
