Date,Time,Elapsed Seconds,Carbon Dioxide-CO&#x2082; (ppm),Carbon Dioxide-Avg. (ppm),Particulate Matter-PM10 (ug/m&#179;),Particulate Matter-PM2.5 (ug/m&#179;),Particulate Matter-PM1.0 (ug/m&#179;),Particulate Matter-Avg. (ug/m&#179;),Particulate Matter-Avg. (ug/m&#179;),Particulate Matter-Avg. (ug/m&#179;),Air Quality Index-AQI ,Air Quality Index-Avg. ,Pressure Barometric-Pressure (mBar),Internal Temperature-Internal Temperature (&#x2103;),Humidity-Humidity (%RH),Dew Point-Dew Point (&#x2103;),Heat Index-Heat Index (&#x2103;),Pressure Altitude-Altitude (m),Ozone-Avg. (ppb),Ozone-O&#x2083; (ppb)
,,0.00,1272,1272,1,6,6,1,6,6,25,25,992.62,26.9,36,10.6,26.6,173.1,0.4,0.4
,,1.00,1290,1281,1,6,6,1,6,6,25,25,992.63,26.9,36,10.6,26.6,173.1,0.7,0.9
,,2.00,1303,1288.3,0,8,30,0.7,6.7,14,33.3,27.8,992.64,26.9,36,10.6,26.6,173,0.3,-0.3
,,3.00,1319,1296,2,8,18,1,7,15,33.3,29.2,992.62,26.9,36,10.6,26.6,173.1,0.5,0.6
,,4.00,1349,1306.6,1,5,7,1,6.6,13.4,20.8,27.5,992.6,26.9,37.4,11.1,26.7,173.3,0.4,0.1
,,5.00,1355,1314.7,1,6,7,1,6.5,12.3,25,27.1,992.61,26.9,37.4,11.1,26.7,173.3,0.5,0.9
,,6.00,1357,1320.7,1,5,7,1,6.3,11.6,20.8,26.2,992.58,26.9,37.4,11.1,26.7,173.5,0.4,0
,,7.00,1360,1325.6,0,5,7,0.9,6.1,11,20.8,25.5,992.57,26.9,37.4,11.1,26.7,173.6,0.5,0.7
,,8.00,1341,1327.3,2,8,8,1,6.3,10.7,33.3,26.4,992.6,26.9,36,10.6,26.6,173.4,0.4,0.3
,,9.00,1333,1327.9,2,8,8,1.1,6.5,10.4,33.3,27.1,992.62,26.9,36,10.6,26.6,173.2,0.5,0.8
,,10.00,1320,1327.2,3,9,9,1.3,6.7,10.3,37.5,28,992.63,26.9,36,10.6,26.6,173.1,0.4,0.3
,,11.00,1312,1325.9,2,8,8,1.3,6.8,10.1,33.3,28.5,992.62,26.9,36,10.6,26.6,173.2,0.5,0.9
,,12.00,1292,1323.3,3,9,10,1.5,7,10.1,37.5,29.1,992.63,26.9,36,10.6,26.6,173.1,0.5,0.7
,,13.00,1278,1320.1,3,9,10,1.6,7.1,10.1,37.5,29.7,992.63,26.9,36,10.6,26.6,173.1,0.5,0.6
,,14.00,1269,1316.7,3,10,12,1.7,7.3,10.2,41.7,30.5,992.63,26.9,36,10.6,26.6,173.1,0.4,-0.1
,,15.00,1260,1313.1,3,10,12,1.8,7.5,10.3,41.7,31.2,992.63,26.9,36,10.6,26.6,173.1,0.5,0.9
