Date, Time, AQI, Temperature (C), Humidity (%), Pressure (mb), Temperature before correction (C), Humidity before correction (%)
2022/12/01, 16:15:14, 25.00, 18.21, 36.71, 997.85, 23.93, 27.68
2022/12/01, 16:15:17, 22.83, 18.23, 36.59, 997.85, 23.95, 27.54
2022/12/01, 16:15:20, 25.09, 18.26, 36.61, 997.85, 23.98, 27.57
2022/12/01, 16:15:23, 22.64, 18.27, 36.61, 997.85, 23.99, 27.57
2022/12/01, 16:15:26, 22.44, 18.30, 36.53, 997.89, 24.02, 27.47
2022/12/01, 16:15:29, 24.12, 18.32, 36.62, 997.83, 24.04, 27.58
2022/12/01, 16:15:32, 25.38, 18.33, 36.83, 997.75, 24.05, 27.81
2022/12/01, 16:15:35, 24.57, 18.35, 37.02, 997.65, 24.07, 28.03
2022/12/01, 16:15:38, 24.91, 18.36, 37.22, 997.57, 24.08, 28.25
2022/12/01, 16:15:41, 24.53, 18.38, 37.39, 997.54, 24.10, 28.45
2022/12/01, 16:15:44, 22.72, 18.39, 37.60, 997.50, 24.11, 28.68
2022/12/01, 16:15:47, 21.55, 18.41, 37.79, 997.52, 24.13, 28.89
2022/12/01, 16:15:50, 21.49, 18.41, 37.92, 997.52, 24.13, 29.03
2022/12/01, 16:15:53, 19.78, 18.41, 37.92, 997.50, 24.13, 29.03
2022/12/01, 16:15:56, 17.59, 18.42, 37.86, 997.50, 24.14, 28.97
2022/12/01, 16:15:59, 16.14, 18.43, 37.86, 997.52, 24.15, 28.97
2022/12/01, 16:16:02, 14.59, 18.44, 37.92, 997.41, 24.16, 29.03
2022/12/01, 16:16:05, 20.76, 18.46, 38.78, 997.50, 24.18, 29.97
2022/12/01, 16:16:08, 23.30, 18.48, 39.74, 997.41, 24.20, 30.99
2022/12/01, 16:16:11, 19.72, 18.50, 39.84, 997.50, 24.22, 31.10
2022/12/01, 16:16:14, 14.06, 18.53, 39.60, 997.52, 24.25, 30.84
2022/12/01, 16:16:17, 9.08, 18.55, 39.00, 997.41, 24.27, 30.20
2022/12/01, 16:16:20, 2.03, 18.58, 38.49, 997.52, 24.30, 29.66
2022/12/01, 16:16:23, 0.00, 18.61, 38.07, 997.50, 24.33, 29.20
2022/12/01, 16:16:26, 0.00, 18.64, 37.78, 997.61, 24.36, 28.88
2022/12/01, 16:16:29, 0.00, 18.67, 37.61, 997.67, 24.39, 28.69
2022/12/01, 16:16:32, 0.00, 18.70, 37.54, 997.79, 24.42, 28.61
2022/12/01, 16:16:35, 0.00, 18.71, 37.39, 997.77, 24.43, 28.45
2022/12/01, 16:16:38, 0.00, 18.74, 37.13, 997.83, 24.46, 28.15
2022/12/01, 16:16:41, 0.00, 18.76, 36.96, 997.81, 24.48, 27.96
2022/12/01, 16:16:44, 0.00, 18.78, 36.79, 997.79, 24.50, 27.77
2022/12/01, 16:16:47, 0.00, 18.80, 36.81, 997.77, 24.52, 27.79
2022/12/01, 16:16:50, 0.00, 18.84, 36.85, 997.79, 24.56, 27.84
2022/12/01, 16:16:53, 0.00, 18.87, 37.29, 997.75, 24.59, 28.33
2022/12/01, 16:16:56, 0.00, 18.90, 37.72, 997.77, 24.62, 28.81
